SampleName,Date,Month,MonthYear,StartTime,EndTime,StartTimeEpoch,EndTimeEpoch,SampleLabel,BottleNumber,SampleID,Site,SampleDepth,Season,TideDirection,TideType,SamplingDirection,Depth,Pressure,Latitude,Longitude,Distance,Tide,vvhA,TotalProkaryotes,LabChla,Rainfall,Rainfall_5Day,AirTemp,AirTemp_Max,Discharge,Discharge_3Day,TotalN,NOx,NH3,TDN,PON,DON,TotalP,Phosphate,DOP,Silicate,DOC,POC,TOC,ChlorophyllRaw,Chlorophyll,LabpH,LabConductivity,LabSalinity,Conductivity,Density,Salinity,WaterTemp,O2Sat,O2ConcentrationRaw,O2Conc,TurbidityRaw,Turbidity,M:C,BIX,HIX,FI,UVHumic-like,MarineHumic-like,VisibleHumic-like,Tryptophan-like,Tyrosine-like,Phenylalanine-like,FulvicAcid-like,OpticalBrighteners,DieselBandII,Petroleum-like,Lignin-like
80-Oct-S7-M,2018-10-21,October,18-Oct,9:41:00 AM,9:42:00 AM,1540150860,1540150920,S4-M,11,80,5,Pycnocline,Rainy,Flood,HL,Back-Offshore,0.525883483,109.5646066,21.28710367,-157.8311048,1957.846062,0.304166667,24.33456148,4110.06,24.0952381,0.254,1.8288,27.1,31.1,0.06088112,0.274767349,36.73481759,2.575164391,7.838313032,34.12562455,7.251631617,26.32134017,0.240472692,0.216324288,0.024148404,28.64962712,172.6894255,62.81303933,235.5024648,274.7959184,2.744230612,NA,NA,NA,46.08382,1016.94816,27.85451,28.26339,46.00325532,111.7856809,3.577141787,715.6122449,4.060234694,1.114949615,0.598170118,7.13693055,1.519839927,0.306342121,0.302543285,0.271351531,0.12018854,0.072657981,0.039866896,0.13289211,0.210556923,0.100490779,0.322970396,0.196006296
81-Oct-S7-S,2018-10-21,October,18-Oct,9:46:00 AM,9:47:00 AM,1540151160,1540151220,S4-S,12,81,5,Surface,Rainy,Flood,HL,Back-Offshore,0.203019985,106.321377,21.28704619,-157.8311288,1955.2045,0.309,NA,3237.63,12.2,0.254,1.8288,27.1,31.1,0.06088112,0.274767349,66.3419323,11.38275694,3.454731533,51.32762313,3.763505016,51.50444383,0.916492418,0.230915211,0.685577207,211.0392654,138.0516236,41.24893399,179.3005576,146.9038462,1.196736538,NA,NA,NA,21.78893443,1006.313057,12.76720492,26.12318033,76.7673617,193.9797447,6.20735183,463.8269231,2.524344231,1.148071219,0.587245551,6.975468023,1.463966639,0.248517584,0.244763857,0.213195708,0.095671622,0.061516082,0.0437102,0.105778077,0.164661367,0.079472566,0.269074434,0.17071411
82-Oct-S9-B,2018-10-21,October,18-Oct,10:02:00 AM,10:03:00 AM,1540152120,1540152180,S5-B,13,82,4,Bottom,Rainy,Flood,HL,Back-Offshore,1.377928669,118.1235738,21.28888192,-157.8352666,2446.695858,0.329333333,2.316129649,914.77551,4.35,0.254,1.8288,27.1,31.1,0.06088112,0.274767349,20.23657981,2.960595333,6.574934208,16.50963597,3.488126601,10.70105027,0.899832031,0.369021069,0.530810962,26.67095797,96.33638634,33.20848434,129.5448707,228.7647059,2.187252941,NA,NA,NA,52.47294262,1020.532533,32.46840164,27.87542623,49.06546809,120.126617,3.844051745,1131.843137,6.599243137,1.078110743,0.631504764,4.919435257,1.535486065,0.103235659,0.103029972,0.095565296,0.046059859,0.044473091,0.022477938,0.04851669,0.07571122,0.038296714,0.111362159,0.068161964
83-Oct-S9-M,2018-10-21,October,18-Oct,10:07:00 AM,10:09:00 AM,1540152420,1540152540,S5-M,14,83,4,Pycnocline,Rainy,Flood,HL,Back-Offshore,0.466422602,108.9673099,21.28888057,-157.8352133,2441.186736,0.337,NA,1723.39,3.05,0.254,1.8288,27.1,31.1,0.06088112,0.274767349,33.72301457,9.028744381,4.333981734,24.36117059,4.293863447,20.36028846,0.94922518,0.339654528,0.609570652,84.05940488,114.1548709,69.35482528,183.5096962,195.1827957,1.780911828,NA,NA,NA,43.77292149,1016.412401,26.7829876,27.42096694,60.54917021,149.3872021,4.780390468,421.6451613,2.267035484,1.127980746,0.61730011,5.764248576,1.498817672,0.158526657,0.158276708,0.140318625,0.068932735,0.058816466,0.023283102,0.072210043,0.109634302,0.057610197,0.173454462,0.108204186
84-Oct-S9-S,2018-10-21,October,18-Oct,10:14:00 AM,10:15:00 AM,1540152840,1540152900,S5-S,15,84,4,Surface,Rainy,Flood,HL,Back-Offshore,0.226439531,106.5566311,21.28886416,-157.83523,2442.947736,0.338,10.74226735,2629.68,1.075,0.254,1.8288,27.1,31.1,0.06088112,0.274767349,53.0910382,38.16462731,8.70502851,40.56388294,3.630915409,6.22138238,1.021942871,0.728576508,0.293366363,195.7356796,136.5528726,41.35598139,177.908854,140.8490566,1.123473585,NA,NA,NA,27.37960656,1008.731918,16.2100082,26.65806557,70.50489362,176.2130426,5.638817362,428.7358491,2.310288679,1.189819051,0.601239211,6.467532043,1.461321047,0.223770437,0.226938444,0.190733577,0.085917884,0.061790604,0.042406323,0.095186207,0.148032,0.07128955,0.24100996,0.160854317
85-Oct-S11-B,2018-10-21,October,18-Oct,10:27:00 AM,10:28:00 AM,1540153620,1540153680,S6-B,16,85,3,Bottom,Rainy,Flood,HL,Back-Offshore,2.1874913,126.2557951,21.28777782,-157.8406888,3020.330879,0.3625,NA,511.58,3.7,0.254,1.8288,27.1,31.1,0.06088112,0.274767349,6.139644438,1.29825141,0.76306814,6.858672377,2.152031324,4.078324888,0.203857514,0.171397173,0.032460341,18.13662697,74.42964197,17.7936578,92.22329977,202.86,1.873806,NA,NA,NA,53.3867623,1021.305328,33.34861475,27.52967213,83.38740426,205.4423191,6.574154213,424.1,2.28201,1.123247542,0.689491533,2.571937074,1.538661261,0.036570245,0.037706997,0.033569624,0.025222058,0.033634203,0.029188602,0.017961773,0.027001343,0.01453479,0.040873731,0.045284957
86-Oct-S11-M,2018-10-21,October,18-Oct,10:32:00 AM,10:34:00 AM,1540153920,1540154040,S6-M,17,86,3,Pycnocline,Rainy,Flood,HL,Back-Offshore,0.529759027,109.6035372,21.2877953,-157.8406696,3018.028744,0.374,15.90360172,1471.06,2.05,0.254,1.8288,27.1,31.1,0.06088112,0.274767349,31.96078941,8.809735323,3.042703041,26.43825839,2.549800147,20.10835105,0.727740027,0.270301469,0.457438558,98.56964533,109.6586178,38.91767935,148.5762972,137.4950495,1.082890099,NA,NA,NA,40.02426033,1014.841517,24.49869421,26.96945868,70.89990426,176.4551596,5.646565106,398.2871287,2.124551485,1.137431912,0.613919664,5.396199194,1.490849081,0.148564619,0.149000741,0.130997504,0.064655821,0.054689069,0.033454814,0.06530888,0.101435625,0.049110091,0.16233629,0.118420366
87-Oct-S11-S,2018-10-21,October,18-Oct,10:38:00 AM,10:39:00 AM,1540154280,1540154340,S6-S,18,87,3,Surface,Rainy,Flood,HL,Back-Offshore,0.171851043,106.0082787,21.28778924,-157.8406496,3016.096805,0.381,32.69962372,2461.51,2.05,0.254,1.8288,27.1,31.1,0.06088112,0.274767349,47.36791971,11.1407131,4.556304598,38.30835118,2.549800147,31.67090201,0.896891962,0.240565537,0.656326425,129.4091874,136.2198168,23.33633463,159.5561514,127.8,0.96558,NA,NA,NA,31.55937705,1010.558721,18.79734426,27.01863115,72.75144681,180.8725106,5.78792034,411.98,2.208078,1.156658649,0.59669609,5.953657564,1.460620465,0.214095684,0.213172212,0.18430002,0.090050353,0.072205715,0.041418852,0.090965722,0.142251751,0.067764393,0.230327104,0.159238547
88-Oct-S13-B,2018-10-21,October,18-Oct,10:50:00 AM,10:52:00 AM,1540155000,1540155120,S7-B,19,88,2,Bottom,Rainy,Flood,HL,Back-Offshore,1.970212561,124.073186,21.28481377,-157.8448937,3533.418223,0.400666667,NA,335.204082,2.05,0.254,1.8288,27.1,31.1,0.06088112,0.274767349,8.163389014,2.014204786,0.426045817,6.03283369,1.478884085,5.723138411,0.198919726,0.128086142,0.070833584,12.15602317,71.38218152,50.72857654,122.1107581,74.08,0.315568,NA,NA,NA,53.64020248,1021.271583,33.3873595,27.72496694,106.7283085,261.9732872,8.383145191,256.72,1.260992,1.2499642,0.752102676,2.036143221,1.538343986,0.025367633,0.02855072,0.02284123,0.019594101,0.021361389,0.024324192,0.011832414,0.017532005,0.009120419,0.027198113,0.027455995
89-Oct-S13-M,2018-10-21,October,18-Oct,10:56:00 AM,10:57:00 AM,1540155360,1540155420,S7-M,20,89,2,Pycnocline,Rainy,Flood,HL,Back-Offshore,0.460554203,108.9083607,21.28439374,-157.8449846,3560.254312,0.401666667,3.778473198,678.24,2.05,0.254,1.8288,27.1,31.1,0.06088112,0.274767349,18.54016748,6.207518448,1.50012336,14.4468237,1.478884085,10.83252567,0.506646884,0.25806541,0.248581474,49.59347627,88.17651957,33.10143693,121.2779565,88.29411765,0.487558824,NA,NA,NA,49.10163208,1018.954302,30.27686792,27.66731132,92.08234043,226.3279787,7.242495319,265.0588235,1.311858824,1.138724815,0.638499199,4.01690204,1.463444659,0.085374474,0.086248691,0.07574147,0.043330845,0.046045907,0.041066886,0.038006764,0.058569059,0.028455477,0.093620017,0.074923241
90-Oct-S13-S,2018-10-21,October,18-Oct,11:01:00 AM,11:03:00 AM,1540155660,1540155780,S7-S,21,90,2,Surface,Rainy,Flood,HL,Back-Offshore,0.276497245,107.0594711,21.28387166,-157.8450706,3592.774738,0.4135,NA,845.84,1.725,0.254,1.8288,27.1,31.1,0.06088112,0.274767349,20.58729293,6.606698838,1.765576456,16.21698787,1.7440633,12.21501764,0.518407158,0.241996925,0.276410233,55.75950695,89.25895087,26.00062563,115.2595765,87.15384615,0.473761538,NA,NA,NA,46.98229752,1017.923087,28.86893388,27.58847521,87.65459574,215.720117,6.903043745,251.3461538,1.228211538,1.142845797,0.628034798,4.115301509,1.501366577,0.092301568,0.092935687,0.081319533,0.045629182,0.052759405,0.043125119,0.040780081,0.063215016,0.030195363,0.102752041,0.088079415
102-Nov-S17-B,2018-11-29,November,18-Nov,9:27:01 AM,9:27:56 AM,1543519621,1543519676,S1-B,1,102,1,Bottom,Rainy,Ebb,HH,Offshore-Back,11.59853406,220.5246339,21.277492,-157.846181,4106.246925,0.5865,0.1,200.918367,0.064285714,0,1.0668,23.9,27.2,0.260231392,0.349995648,6.12167855,1.084867126,0.212618562,4.677373305,0.772524065,4.824192862,0.240137897,0.080065382,0.160072515,1.905906703,74.01332223,11.06278526,85.07610749,63.75555556,0.190642222,8.19,56.8,36.96679006,53.21761957,1022.540293,34.346,25.99916304,98.49518605,249.4554884,7.982575628,73.33333333,0.142333333,1.768266491,0.960402126,0.548483023,1.606890228,0.008555547,0.013512089,0.007641433,0.026168856,0.068658802,0.040680701,0.003954376,0.006355759,0.003388814,0.008438049,0.0362031
103-Nov-S17-M,2018-11-29,November,18-Nov,9:32:49 AM,9:33:40 AM,1543519969,1543520020,S1-M,2,103,1,Pycnocline,Rainy,Ebb,HH,Offshore-Back,0.85615393,112.6152404,21.277492,-157.846181,4106.246925,0.585208333,0.1,246.9,0.045185185,0,1.0668,23.9,27.2,0.260231392,0.349995648,6.169725361,1.17736341,0.201431659,5.338329764,0.750661163,4.790930292,0.269096282,0.090269794,0.178826488,4.288290082,72.14820983,12.84093112,84.98914095,60.28205128,0.148612821,8.15,55.8,36.34529454,52.80875962,1022.437442,34.15266346,25.86055769,95.92855,243.470525,7.7910568,80.76923077,0.187692308,1.367379725,0.894034096,0.758248802,1.61810449,0.010187413,0.012987729,0.009498261,0.018426202,0.057123313,0.019268417,0.005635187,0.008040068,0.00436553,0.012688012,0.01888529
104-Nov-S17-S,2018-11-29,November,18-Nov,9:38:21 AM,9:39:09 AM,1543520301,1543520349,S1-S,3,104,1,Surface,Rainy,Ebb,HH,Offshore-Back,0.319990269,107.2293673,21.27750735,-157.8462584,4111.282371,0.585666667,1.657252593,269.8,0.038,0,1.0668,23.9,27.2,0.260231392,0.349995648,7.599975977,2.169198559,0.515608438,5.716630978,0.663547991,4.91516898,0.358926373,0.16105424,0.197872133,11.82507139,74.97918401,16.16205942,91.14124343,59.56756757,0.139967568,8.07,50.8,32.81068486,51.73427551,1021.979041,33.48316327,25.7094898,82.17657895,209.1988158,6.694362105,96.32432432,0.282578378,1.148758427,0.808357939,0.87037885,1.553843618,0.019622992,0.022244057,0.019363563,0.024645293,0.110663692,0.022673584,0.009475309,0.015471424,0.007455832,0.022015913,0.027801544
105-Nov-S13-B,2018-11-29,November,18-Nov,10:08:54 AM,10:09:49 AM,1543522134,1543522189,S2-B,4,105,2,Bottom,Rainy,Ebb,HH,Offshore-Back,6.817783078,172.5010179,21.28505162,-157.8447563,3510.475195,0.575166667,0.1,277.204082,0.107307692,0,1.0668,23.9,27.2,0.260231392,0.349995648,6.734275394,1.067635675,0.720207473,4.880085653,1.217904541,4.946432246,0.352031519,0.133904042,0.218127477,2.736806916,61.89009159,14.92786579,76.81795738,121.6428571,0.891078571,8.1,52.6,33.90141398,53.17454464,1022.514634,34.31292857,26.00141964,83.08132558,210.3884186,6.732429395,278.3809524,1.39312381,1.188394302,0.854389723,1.234720352,1.68960735,0.017208449,0.01968196,0.01656181,0.022188542,0.062523051,0.009382072,0.008103071,0.014042686,0.006695088,0.017915241,0.021854886
106-Nov-S13-M,2018-11-29,November,18-Nov,10:13:17 AM,10:14:12 AM,1543522397,1543522452,S2-M,5,106,2,Pycnocline,Rainy,Ebb,HH,Offshore-Back,1.753776794,121.6320446,21.28505162,-157.8447563,3510.475195,0.574958333,0.1,310.612245,0.049333333,0,1.0668,23.9,27.2,0.260231392,0.349995648,6.621880175,1.510921436,0.313705042,5.36331192,0.772739433,4.797253697,0.253730608,0.100982117,0.152748491,7.783234764,85.17901749,12.23418922,97.41320671,66.43181818,0.223025,7.94,52,33.70100988,52.12625,1022.216786,33.78774107,25.68345536,75.19830233,191.5000698,6.128002233,139.4545455,0.545672727,1.239573675,0.90778742,0.939792152,1.591448234,0.022738697,0.026563789,0.021429779,0.034819407,0.086724684,0.041426808,0.010148203,0.017814112,0.008235524,0.024906859,0.063253129
107-Nov-S13-S,2018-11-29,November,18-Nov,10:17:46 AM,10:18:33 AM,1543522666,1543522713,S2-S,6,107,2,Surface,Rainy,Ebb,HH,Offshore-Back,0.234384253,106.3694375,21.28505162,-157.8447563,3510.475195,0.570291667,3.51542044,445.632653,0.244642857,0,1.0668,23.9,27.2,0.260231392,0.349995648,12.13267784,3.28701079,1.116803428,9.71448965,1.174437948,7.728863622,0.516129032,0.234285899,0.281843133,27.97129333,80.94920899,15.58193944,96.53114843,79.31428571,0.378902857,7.96,49.9,32.0583862,50.856875,1021.3765,32.742875,25.85405208,78.13167568,198.3581351,6.347460324,131.2,0.49532,1.182713105,0.747987813,1.675601767,1.517121423,0.036824774,0.040021536,0.033838753,0.032127518,0.084044234,0.028829256,0.016555444,0.027808488,0.012992754,0.039874933,0.041918902
108-Nov-S11-B,2018-11-29,November,18-Nov,10:49:17 AM,10:50:16 AM,1543524557,1543524616,S3-B,7,108,3,Bottom,Rainy,Ebb,HH,Offshore-Back,4.00302413,144.2261917,21.28770553,-157.8407364,3026.64877,0.563375,1.399181037,320.938776,0.302333333,0,1.0668,23.9,27.2,0.260231392,0.349995648,7.671188215,0.560959604,1.839841323,7.173447537,1.580412491,5.270387288,0.456045309,0.189404958,0.266640351,5.14970358,90.17485429,20.35684848,110.5317028,116.3191489,0.826661702,8.08,52.6,33.77154788,53.25801667,1022.4109,34.24585833,26.17215,81.88445652,206.7356957,6.615542261,665.787234,3.756302128,1.085739197,0.728419795,1.138744181,1.620075217,0.023469425,0.024766811,0.022811013,0.025495295,0.086727925,0.020528363,0.0116198,0.01767693,0.009733443,0.025659038,0.044270292
109-Nov-S11-M,2018-11-29,November,18-Nov,10:55:05 AM,10:56:05 AM,1543524905,1543524965,S3-M,8,109,3,Pycnocline,Rainy,Ebb,HH,Offshore-Back,0.571606308,109.7569016,21.28770553,-157.8407364,3026.64877,0.554958333,10.39247568,570.081633,0.167,0,1.0668,23.9,27.2,0.260231392,0.349995648,12.08377305,3.687084001,2.092085785,10.6566738,1.444491432,6.304603264,0.590002462,0.288863339,0.301139123,39.07812895,90.59117402,17.41857696,108.009751,100.1702128,0.631259574,8,49.9,31.73899112,49.61643443,1020.300115,31.51396721,26.34245082,73.43838298,185.0405745,5.921298383,208.4893617,0.966785106,1.166746087,0.718601091,1.819317946,1.52875123,0.040994323,0.043757623,0.037503981,0.031757363,0.087941199,0.022373646,0.01868495,0.030802654,0.015061745,0.044718364,0.040193112
110-Nov-S11-S,2018-11-29,November,18-Nov,11:00:07 AM,11:00:58 AM,1543525207,1543525258,S3-S,9,110,3,Surface,Rainy,Ebb,HH,Offshore-Back,0.230898567,106.3344231,21.28770553,-157.8407364,3026.64877,0.549,8.853677603,1496.06,1.035,0,1.0668,23.9,27.2,0.260231392,0.349995648,26.60763773,9.631755867,4.028026655,22.26266952,3.328077607,12.94785521,0.803939916,0.38213443,0.421805486,89.17390083,126.8109908,21.86511899,148.6761098,113.8571429,0.796871429,7.88,42.9,27.13452109,43.91315385,1017.707298,27.83575,25.77300962,66.280325,168.567275,5.3941528,213.6666667,0.998366667,1.141916992,0.687343942,3.741523592,1.508127856,0.096507218,0.10068202,0.088169298,0.056131536,0.065063707,0.03228987,0.047587818,0.069581043,0.039472198,0.108382599,0.100255958
111-Nov-S9-B,2018-11-29,November,18-Nov,11:19:47 AM,11:20:48 AM,1543526387,1543526448,S4-B,10,111,4,Bottom,Rainy,Ebb,HH,Offshore-Back,2.814259232,132.2848065,21.28882251,-157.8352112,2441.259887,0.52875,1.928142587,357.755102,0.585769231,0,1.0668,23.9,27.2,0.260231392,0.349995648,10.62949903,0.927373454,3.651647995,9.643112063,1.841380673,6.050477581,0.565377986,0.255064112,0.310313874,12.40247663,106.32806,23.20153419,129.5295942,157.25,1.321925,8.03,52.1,33.24291198,53.38607258,1022.272242,34.16108065,26.41066935,67.37389583,169.3575208,5.419440667,666.825,3.7626325,1.124149635,0.637634672,1.607256692,1.513430925,0.039595392,0.041419593,0.036845267,0.028913755,0.10132497,0.03493214,0.019273448,0.029640501,0.015516626,0.043659237,0.029794565
